permit_creation_year,projects,mean_cost,median_cost
1901,1,12000.0,12000.0
1908,1,195000.0,195000.0
1909,1,4020.0,4020.0
1949,1,12000.0,12000.0
1964,1,15000.0,15000.0
1966,3,1.0,1.0
1969,4,32506.5,40376.0
1970,7,35307.142857142855,40775.0
1971,8,36390.625,40775.0
1972,10,33280.0,40775.0
1973,8,109803.375,40775.0
1974,14,26962.5,40775.0
1975,14,33916.142857142855,40775.0
1976,10,36977.7,40775.0
1977,22,22230.045454545456,21500.0
1978,38,35418.36842105263,2500.0
1979,78,116413.79487179487,20000.0
1980,220,93529.71363636364,12000.0
1981,2746,43755.59504734159,7500.0
1982,9950,28880.157889447237,4800.0
1983,13142,29517.719373002587,4000.0
1984,14073,30138.115824628723,4500.0
1985,15130,27648.15532055519,4000.0
1986,16728,28223.094571975133,4000.0
1987,18050,32716.788531855957,5000.0
1988,21085,28314.764666824758,4950.0
1989,25943,25044.711945418803,4860.0
1990,27585,25257.789958310677,5000.0
1991,26106,25801.415958017315,5000.0
1992,24553,22014.557487883354,4500.0
1993,24628,20526.025946077636,4500.0
1994,23154,25462.586507730844,5000.0
1995,23449,23621.543477333787,4975.0
1996,27197,24984.885759458764,5000.0
1997,28347,26398.9222139909,5000.0
1998,28479,29560.939709961727,5710.0
1999,29756,32662.06344938836,6000.0
2000,29957,36146.11947124211,7000.0
2001,28280,32465.326803394626,6000.0
2002,29807,30403.89727245278,6800.0
2003,29550,29078.5765820643,6826.0
2004,29758,31399.235264466697,7000.0
2005,29800,35062.058154362414,8000.0
2006,30830,36944.48913396043,8164.0
2007,34049,35178.47804634497,7453.0
2008,37794,25453.82592474996,4800.0
2009,30985,24187.89120542198,4000.0
2010,30820,28209.478358208955,5000.0
2011,30011,29384.47772483423,6000.0
2012,31478,35157.209606709446,6000.0
2013,34629,38672.98928643623,6682.0
2014,35936,40716.29608192342,7700.0
2015,38091,46963.776298863246,9000.0
2016,38135,44772.74878720336,9829.0
2017,39318,41925.650261966526,9870.0
2018,39743,41945.19009636917,9000.0
2019,40196,42550.73616777789,8500.0
2020,23217,48905.37270103803,15000.0
2021,23993,51797.347434668445,17000.0
2022,25043,54398.99880206046,16500.0
2023,24579,48820.327027136984,16640.0
2024,24846,47096.487603638416,16148.0
2025,26184,54701.255919645584,17000.0
2026,14420,62199.18703190014,18200.0
