neighborhoods_analysis_boundaries,projects,mean_cost,median_cost
Financial District/South Beach,135925,71771.6853264668,17000.0
Sunset/Parkside,80898,20914.828116887933,5525.0
Mission,78614,30625.49446663444,5000.0
West of Twin Peaks,67331,23096.17186734194,7000.0
Marina,54275,27972.7716444035,6000.0
Outer Richmond,51091,25571.11381652346,5978.0
Castro/Upper Market,50944,25991.41451397613,5670.0
Pacific Heights,49967,32697.420717673664,7348.0
Noe Valley,48987,29423.279441484476,6000.0
Inner Sunset,38046,24970.23763339116,6379.0
South of Market,37505,49979.36011198507,8300.0
Bernal Heights,37133,25410.051490587888,5100.0
Bayview Hunters Point,35659,46410.00942258616,7200.0
Haight Ashbury,35021,22358.086148311013,5500.0
Russian Hill,33924,29252.391669614433,6800.0
Nob Hill,32971,33060.49070395196,7812.0
Inner Richmond,28774,27888.506186140265,6000.0
Hayes Valley,27130,27684.247327681533,5000.0
Chinatown,26057,50528.03196837702,9580.0
Excelsior,25918,19268.089435913265,5000.0
