zipcode,projects,mean_cost,median_cost
94110,99642,27554.699092752053,5000.0
94114,79046,26880.41995799914,5900.0
94117,68702,24796.08283601642,5775.0
94109,64471,31235.488467683146,7880.0
94122,63703,22679.69824027126,5741.0
94118,63443,29894.2638273726,6500.0
94112,62894,22159.178872388464,5000.0
94123,61311,29672.83237918155,6150.0
94115,58260,32006.93024373498,6800.0
94103,55982,45923.14117037619,7200.0
94116,51508,21460.74829152753,6000.0
94121,51261,27229.38186925733,6000.0
94131,49419,28292.988708796212,6800.0
94105,47605,78035.24215943704,18000.0
94133,46579,31974.118100431526,6000.0
94107,44043,45419.2487114865,8000.0
94127,38438,22576.7419220563,7000.0
94111,37056,72777.41944624353,19200.0
94102,36785,40489.70275927688,7000.0
94108,34851,49510.90310177613,10000.0
