term,coefficient_log10,prediction_multiplier,direction
apn,-0.11195172710107545,0.7727664752149273,lower
block,-0.10590036965709594,0.783609387895139,lower
sign,-0.1031483602965984,0.7885906793968056,lower
address,-0.09477444548879951,0.8039435486587078,lower
exploratory,-0.09446117279368099,0.8045236721237897,lower
revision,-0.07168019488189847,0.847851523953271,lower
truss,-0.06713731683726101,0.8567669066667232,lower
awning,-0.06037836051622226,0.8702051305676816,lower
evacuation,-0.0568428050508801,0.8773183132089787,lower
builts,-0.05560205500106428,0.8798283362472592,lower
sectional,-0.05515810103400317,0.880728193394973,lower
addresses,-0.05013985118079101,0.8909639843851145,lower
lot,-0.047751414434828825,0.8958774095674862,lower
physical,-0.04697017520243298,0.8974904267625351,lower
item,-0.04169731536888714,0.9084534626976948,lower
rev,-0.04069189083351534,0.9105590374369064,lower
built,-0.039619363219768,0.9128105203458087,lower
abe,-0.039337598413740335,0.9134029325024201,lower
strobe,-0.03929517460989393,0.9134921620946772,lower
revert,-0.03907418531835412,0.9139571078027092,lower
head,-0.03904348050101483,0.9140217272700826,lower
less,-0.0380736202476847,0.9160651884421686,lower
handrail,-0.03734676852609341,0.9175996335907344,lower
tie,-0.03692683803911302,0.9184873133308817,lower
signs,-0.036378004270899475,0.919648772965424,lower
monitoring,-0.035336002639995125,0.921857933052,lower
shed,-0.034041218983831584,0.9246104147978952,lower
grab,-0.03403201966540373,0.9246300003005166,lower
opener,-0.03362410822089615,0.9254988677568856,lower
ansul,-0.032982065612047834,0.9268680980282905,lower
