term,coefficient_log10,prediction_multiplier,direction
remodel,0.0919785504527043,1.2358863922400403,higher
mep,0.08364822869891209,1.2124064236225436,higher
stories,0.08054380921755633,1.2037708133871101,higher
kitchen,0.07978489612033271,1.2016691065138614,higher
meps,0.0765613165852983,1.1927826589621844,higher
crane,0.0718797720388475,1.179993926681756,higher
shoring,0.07099817281313368,1.1776010190446817,higher
story,0.07082099863669582,1.1771207045418328,higher
mechanical,0.06717864174751322,1.1672896687157452,higher
bathrooms,0.061047645524144746,1.15092664773376,higher
pumps,0.058426505632931086,1.1440012674938018,higher
162,0.05803989647705455,1.142983330168716,higher
rehabilitate,0.057751405954859766,1.14222432820816,higher
reroofing,0.05696087928090513,1.140147079872109,higher
000,0.05693968506756357,1.140091440365194,higher
rehab,0.05514730580523966,1.1353958586490418,higher
units,0.054548506793784673,1.1338314698271537,higher
pool,0.05405821450594491,1.1325521647178465,higher
standpipe,0.0531823150052015,1.1302702978326202,higher
dwelling,0.052943683271457286,1.1296494189485433,higher
supplies,0.052823783569915995,1.1293375892136166,higher
partitions,0.052195527779841266,1.1277050565400029,higher
uprights,0.05178922428534711,1.1266505272713905,higher
new,0.049590149971056034,1.1209600886182898,higher
erect,0.04950664691237243,1.1207445790923316,higher
levels,0.04603255585211359,1.1118150687280535,higher
vertical,0.04561712574962475,1.1107520558917878,higher
deferred,0.04559094706938566,1.1106851032876597,higher
finishes,0.04524142917438633,1.109791589404828,higher
1103,0.04487468467278037,1.1088548099228026,higher
